,Classical monocyte,Granulocyte,Macrophage,Monocyte,Myeloid progenitor cell,Neutrophil,Non-classical monocyte
CDKN1C,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ADGRE1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SIGLEC10,0.0,0.0,0.0,0.0,0.0,1.0,0.0
IFIT3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MERTK,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MSR1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C1QA,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IFIT1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FCGR3B,0.0,1.0,0.0,0.0,0.0,2.0,0.0
IFIT2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL16,0.0,0.0,0.0,1.0,0.0,0.0,0.0
OAS3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CEBPA,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Score,0.9531310528791039,0.3539306443788406,1.0056190392518656,2.6572008488794965,1.2870829980960572,3.947401198219067,0.4495852402956814
