,Activated CD25+ regulatory T cell,Activated CD4+ T cell,B cell,CAR-T cell,CD14+ monocyte,CD16+ monocyte,CD25 LAG3+ T cell,CD25+ LAG3+ T cell,CD4 T cell,CD4+ T cell,CD4+ central memory T cell,CD4+ central memory like T cell,CD4+ cytotoxic T1 cell,CD4+ cytotoxic T2 cell,CD8+ T cell,Cancer cell,Central memory CD4+ T cell,Central memory T cell,Classical monocyte,Dendritic cell,Differentiated effector T cell,Double-positive T cell,Effector CD4+ T cell,Effector CD4+ memory T cell,Effector T cell,Effector memory CD4+ T cell,Effector memory T cell,Effector regulatory T cell,Exhausted CD4+ T cell,Gamma delta T cell,Helper T cell,Induced regulatory T cell,Lymphoid cell,Memory CD4+ T cell,Memory T cell,Monocyte,Naive CD4+ T cell,Naive T cell,Neutrophil,Peripheral blood mononuclear cell,Plasmacytoid dendritic cell,Proliferative CD4+ T cell,Regulatory CD25+ T cell,Regulatory CD4+ T cell,Regulatory T cell,Responder T cell,Suppressor T cell,T cell,T follicular helper cell,T helper 1 cell,T helper 17 cell,T helper 2 cell,T helper 9 cell,T helper cell,T helper1 cell,T helper17 cell,T helper2 cell
IRF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL11A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALOX5AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD2AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,7.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,9.0,1.0,1.0,11.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0
MME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEC4C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Score,1.1904130705177556,0.8962232199589829,0.10963733700059008,1.069646951895371,0.7162257536023994,0.7162257536023994,1.1904130705177556,1.069646951895371,1.1904130705177556,1.385069610580767,0.7466580587944036,0.8197396047300268,0.7466580587944036,0.7808289487895719,0.19371010946612682,1.7501627901319143,1.836904751266435,0.9827801642687254,0.2971650846010212,2.900458556483569,1.069646951895371,0.9843361204148746,0.7808289487895719,2.2154275957829133,1.2401304937139668,0.8648563271799777,1.0522682063106643,1.069646951895371,0.7808289487895719,0.47056063804176745,2.2154275957829133,0.9843361204148746,0.9184523756332175,0.47056063804176745,0.5495239780205401,0.4372267599963706,1.801727385179508,1.2082320922205616,0.39225450374639953,0.8648563271799777,3.112687234552156,0.9184523756332175,1.1904130705177556,0.9843361204148746,1.1623508570327248,1.069646951895371,0.9184523756332175,0.3727246457446577,0.9231237551372604,1.2992565338530753,1.1834250240503819,0.663907320098667,1.1904130705177556,1.3776358603608516,0.9843361204148746,0.8648563271799777,0.9843361204148746
