label,n_matched_genes,n_db_cell_types,top_db_celltype,top_score,mean_score
B naive,17,17,B cell,39.473759831215766,3.7928388057625257
MAIT,20,46,Mucosa-associated invariant T cell,30.964845344993098,1.950521062168866
Treg,7,20,Regulatory T cell,27.75877793107332,2.7940309643092247
Platelet,16,16,Megakaryocyte,20.815998504712184,2.4633385358678654
Plasmablast,11,66,Plasma cell,18.674356576084296,1.9939829973371903
CD8 Naive,4,24,Naive T cell,16.3415388354615,2.2687643399588695
cDC2,12,28,Dendritic cell,14.04175039727991,1.837126194031698
ABC,10,15,B cell,12.356324313060888,3.6409972839334346
B intermediate,6,36,B cell,11.736643169695116,2.0791855281611693
CD14,12,26,Monocyte,10.614402655603326,1.8943591218740805
NK3,7,23,CD4+ cytotoxic T2 cell,8.685809937352397,2.3945523961105346
NK2,4,19,Natural killer cell,7.370219846241983,1.53677039648898
CD4-CD8-,2,2,Gamma delta T cell,7.029403514566326,3.8916500240753935
NK1,8,24,Natural killer cell,6.592732127856967,1.191429046704856
CD16,20,29,Macrophage,6.390592121712372,1.129978390805556
NK,16,18,Natural killer cell,6.017635405295643,1.1247744169087948
NK_CD56bright,11,14,Natural killer cell,5.96971421292964,0.9018712884563626
gdT,2,2,Gamma delta T cell,5.732231670882997,4.173716395980073
CD14 Mono,21,19,Monocyte,5.445978483589429,1.088442631359385
CD4 Naive,4,8,CD4+ naive T cell,4.052091529737916,1.3527497134040911
CD16 Mono,13,7,Neutrophil,3.947401198219067,1.521993003142873
B memory,4,7,B cell,3.904815570188397,1.3447087025539004
ASDC,12,16,Tissue resident macrophage,3.6765913344205448,0.9636841017208739
CD8 Proliferating,3,8,Regulatory T cell,3.2264194528451298,1.0903251690422828
pDC,9,57,Plasmacytoid dendritic cell,3.112687234552156,1.0554467305245125
Intermed,21,18,Macrophage,2.9730133386870357,0.8766952070479692
CD4 Tex,11,40,Dasatinib NK cell,2.4000492029375087,0.9406781698997062
CD4 Treg,4,7,Regulatory T cell,2.238563929858138,1.0860276555072699
cDC1,6,6,Myeloid cell,2.1183755472238124,0.8092120697124224
T-mito,7,18,Progenitor cell,2.016079207660383,1.1094774405271608
CD4 Tem,1,9,CD4+ T cell,1.8744023104287466,1.2528678041891048
CD8 Tex,2,27,Naive CD4+ T cell,1.6445759031786331,1.1821734237598223
CD8 TCM,1,9,T helper2 cell,1.6418935065341127,1.3163996822223938
CD8 Tem,1,1,Mucosa-associated invariant T cell,1.5158070136782413,1.5158070136782413
CD4 Proliferating,1,1,Tissue resident memory T cell,1.473432368318417,1.473432368318417
CD4 CTL,2,5,Immature erythroid cell,1.4337192552872562,0.8373053219388709
CD4 TCM,1,2,CD4-CD28+ T cell,1.4332354137756516,1.4332354137756516
CD4 Tcm,1,1,Microglial cell,1.3660625114910898,1.3660625114910898
Memory,3,7,Lymphocyte,1.3121460228680961,0.8105503396914541
ASC,4,6,Immature erythroid cell,1.2260291026866497,0.8678050236526973
CD4+CD8+,1,1,Activated CD4+ T cell,1.2063274913746584,1.2063274913746584
Naive,3,3,Immature granulocyte,1.1907346174707694,1.1314514792396675
CD8 TEM,2,3,Myeloid cell,1.0105168139525835,0.8454384755856793
CD4 TEM,2,2,Regulatory T cell,0.7615514818066561,0.5965432660485476
NK Proliferating,2,2,CD4+ T cell,0.6089307039800526,0.535203237153594
