,Abnormal plasma cell,Activated T cell,Activated peripheral helper T cell,Antibody secreting B cell,Antibody-secreting cell,B cell,CD8+ T cell,CD8+ mature T cell,CD8+ tumor antigen-specific T cell,Class switched plasmablast,Dendritic cell,Dividing plasma B cell,Effector CD4+ T cell,Effector CD8+ T cell,Granulocyte,Hematopoietic progenitor cell,M1 macrophage,Mature progenitor cell,Memory B cell,Memory CD4+ T cell,Memory CD8+ T cell,Monocyte,Myeloid cell,Myeloid dendritic cell,Naive B cell,Natural killer cell,Neutrophil,Plasma B cell,Plasma cell,Plasmablast,Plasmacytoid dendritic cell,Progenitor cell,Regulatory B cell,Resting naive B cell,T cell,TolDC-induced regulatory T cell,Transitional B cell,Unswitched plasmablast
JCHAIN,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MZB1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGKC,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD38,1.0,8.0,1.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,5.0,0.0,1.0,8.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0
PRDM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NXPE3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENTPD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Score,1.038253671076803,2.2703819230211075,1.1588582825518896,1.1588582825518896,0.7889885201297638,4.4278829978148435,0.17273265555374087,0.8873809621644686,1.1588582825518896,1.038253671076803,2.7072014662126125,3.858638819699695,0.7502374482581895,0.7889885201297638,0.42121628430428054,1.1588582825518896,0.8873809621644686,1.3660625114910898,0.6587028440598082,0.44246870932904114,0.8339452711441802,0.10397737275790726,0.3555874963548674,0.6112940706752575,0.6676120153153858,0.27174222167177187,0.22435073144826803,3.530659003332593,13.081918284159093,4.1116296255345235,1.0410134329434682,0.5362809972175036,0.7889885201297638,0.9531039648912913,0.1401407708785339,0.7889885201297638,1.370919844860547,0.9531039648912913
