,Aged memory B cell,Antibody-secreting cell,Atypical B cell,Atypical memory B cell,B cell,CD21 low B cell,CD56bright natural killer cell,Chronic lymphocytic leukemia cell,Germinal center B cell,Memory B cell,Myeloid cell,Myeloid-derived suppressor cell,Naive B cell,Regulatory T cell
FCRL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FCRLA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS4A1,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
FCRL5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CD72,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
SWAP70,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD81,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PAX5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Score,0.9531039648912913,0.7889885201297638,3.530659003332593,0.8873809621644686,10.575278146247985,3.530659003332593,0.8873809621644686,1.1588582825518896,1.1588582825518896,1.0440193069531711,0.3555874963548674,0.35177351630289094,1.6861846409306604,0.3239118621992096
