,B cell,CD14-positive monocyte,CD4+ T cell,CD8+ T cell,CD8+ effector T cell,Cytotoxic T cell,Dasatinib NK cell,Dexamethasone NK cell,Early effector T cell,Effector memory CD8 T cell,Exhausted CD4+ T cell,Exhausted CD8+ T cell,Mature natural killer cell,Memory CD4+ T cell,Memory CD8+ T cell,Mucosa-associated invariant T cell,Myeloid cell,Myeloid-derived suppressor cell,NK cell,Natural killer cell,Sotrastaurin NK cell,T cell,T follicular helper cell,T helper 1 cell,Treg cell
GZMK,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0
SH2D1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
HLA-A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDCD1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
CCR5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
EOMES,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
DUSP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SLAMF6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
IFNB1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Score,0.09364390266791675,0.8339452711441802,0.9194911441220547,4.736907164743717,0.6112940706752575,0.5710904230943754,0.6587028440598082,0.5904230401790505,1.1588582825518896,1.3660625114910898,0.7502374482581895,0.7502374482581895,0.9531039648912913,1.75868015876235,0.8339452711441802,0.31749382573466256,0.3555874963548674,0.35177351630289094,0.7162257536023994,3.7456416352250685,0.5904230401790505,3.009412773498702,0.553097308009244,0.7889885201297638,0.6587028440598082
