,B cell,CD14-positive monocyte,CD4+ T cell,CD4+ effector T cell,CD4+ naive T cell,Immature granulocyte,Lymphocyte,Megakaryocyte,Memory B cell,Monocyte,Myeloid derived suppressor cell,Myeloid-derived suppressor cell,Patelet,Plasmablast,Platelet,Regulatory B cell,Responding conventional T cell,Resting naive B cell,Switched memory B cell,T cell,Transitional B cell
CD53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD24,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
AIM2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTB,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SPARC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBED2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPBP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
IL6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Score,2.4369109649520744,0.8648563271799777,0.4504476635105361,1.1904130705177556,0.8648563271799777,0.8648563271799777,0.9843361204148746,5.023021770384736,0.6888179301804258,0.0789498935600493,1.069646951895371,1.5432419325554727,3.964762591348522,0.7808289487895719,2.0184135520985635,0.8197396047300268,0.9184523756332175,0.9843361204148746,0.9843361204148746,0.10396891060078867,0.9827801642687254
