,B cell,Birinapant NK cell,CD4+ tumor antigen-specific T cell,CD8+ T cell,Cytotoxic T cell,Effector memory CD4 T cell,Effector memory T cell,Follicular cytotoxic CD8+ T cell,Immature granulocyte,Memory CD4+ T cell,Mucosa-associated invariant T cell,Natural killer cell,T cell,T follicular helper cell,T helper 17 cell,T helper 2 cell,T helper17 cell
BACH2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCRL1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLPP5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD200,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZCCHC7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIRC3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCR5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0
CR2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR6,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,5.0,1.0,1.0
Score,7.0134630070144865,0.8339452711441802,1.1588582825518896,0.17273265555374087,0.9051569051255642,1.3660625114910898,0.6339502550171747,1.3660625114910898,0.8339452711441802,1.75868015876235,0.31749382573466256,0.10512424129787602,0.8974707803543631,3.7801394542629403,1.851416715112953,0.6339502550171747,0.8339452711441802
