,B cell,Birinapant NK cell,CD8+ T cell,Classical monocyte,Exhausted T cell,Germinal center B cell,Immature B cell,Mature B cell,Megakaryocyte,Memory B cell,Myeloblast,Myeloid cell,Naive B cell,Plasma cell,Tissue-like memory B cell
MS4A1,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
HLA-DPB1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DPA1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD79A,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0
CD74,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
HLA-DRB1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DRA,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HLA-DQB1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AICDA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCRL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Score,12.356324313060888,0.8339452711441802,0.8072880619213927,11.04193603832791,0.5904230401790505,1.1588582825518896,12.094516880888518,6.598818181550531,0.6339502550171747,3.1454569548148403,0.9531039648912913,0.3555874963548674,2.4702158500046836,0.5362809972175036,1.038253671076803
