,Abnormal plasma cell,Activated T cell,Activated peripheral helper T cell,Antibody secreting B cell,Antibody-secreting cell,B cell,CD8+ T cell,CD8+ mature T cell,CD8+ tumor antigen-specific T cell,Class switched plasmablast,Dendritic cell,Dividing plasma B cell,Effector CD4+ T cell,Effector CD8+ T cell,Granulocyte,Hematopoietic progenitor cell,M1 macrophage,Mature progenitor cell,Memory B cell,Memory CD4+ T cell,Memory CD8+ T cell,Monocyte,Myeloid cell,Myeloid dendritic cell,Naive B cell,Natural killer cell,Neutrophil,Plasma B cell,Plasma cell,Plasmablast,Plasmacytoid dendritic cell,Progenitor cell,Regulatory B cell,Resting naive B cell,T cell,TolDC-induced regulatory T cell,Transitional B cell,Unswitched plasmablast
JCHAIN,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MZB1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD38,1.0,8.0,1.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,5.0,0.0,1.0,8.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0
IGKC,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENTPD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NXPE3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Score,1.0098859578290844,2.1835011783206775,1.1303290342510235,1.1303290342510235,0.761262519102692,4.001439837849738,0.15462431762603662,0.8593349937463854,1.1303290342510235,1.0098859578290844,4.578235904999258,3.763237571644477,0.722670760522421,0.761262519102692,0.39643903059954233,1.1303290342510235,0.8593349937463854,1.3373712884778606,0.6316113962694927,0.41738896601595216,0.8060595093768304,0.08671009156748996,0.32356773188666005,0.5845171845196813,0.6283409973225216,0.23500198715909132,0.20414850934292586,3.435600510024344,12.563587691600056,3.9743762019960975,0.9890164415854014,0.5101277450925666,0.761262519102692,0.9248973454603898,0.11963183535503563,0.761262519102692,1.3091094472443747,0.9248973454603898
