,Basophil,CD4+ T cell,CD8+ T cell,Central memory T cell,Conventional T cell,Dendritic cell,Eosinophil,Exhausted CD4+ T cell,Exhausted CD8+ T cell,Exhausted T cell,Gamma delta T cell,Granulocyte,Induced regulatory T cell,Memory CD4+ T cell,Mucosa-associated invariant T cell,Ovalbumin-specific regulatory T cell,Regulatory CD4 T cell,Regulatory CD4+ T cell,Regulatory CD8+ T cell,Regulatory T cell,T cell,T follicular helper cell,T helper 17 cell,T helper 2 cell,T helper2 cell,Th2B cell,TolDC-induced regulatory T cell,Treg cell,Tumor regulatory T cell
FOXP3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CCR4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
RTKN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IL2RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CTLA4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
IKZF2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIGIT,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR3,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LAMP3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Score,1.0522682063106643,1.0051454684658807,0.3070232595144013,0.6200652468569834,3.204045388244009,0.2971650846010212,0.7641135636810829,0.7808289487895719,0.7808289487895719,0.9827801642687254,0.47056063804176745,0.44900303203532976,0.9843361204148746,0.47056063804176745,0.34333750166353494,0.9843361204148746,1.39777918706272,0.9843361204148746,0.9843361204148746,30.744428261859266,2.353934621715766,0.5824262433447102,0.7466580587944036,2.5115108851923678,0.9843361204148746,0.8197396047300268,0.8197396047300268,9.486796587370046,3.964762591348522
