,B cell,CD4+ T cell,CD8+ T cell,CD8+ effector T cell,Cytotoxic T cell,Dasatinib NK cell,Dexamethasone NK cell,Early effector T cell,Effector memory CD8 T cell,Exhausted CD4+ T cell,Exhausted CD8+ T cell,Gamma delta T cell,Mature natural killer cell,Memory CD4+ T cell,Memory CD8+ T cell,Monocyte,Mucosa-associated invariant T cell,NK cell,Natural killer T cell,Natural killer cell,Sotrastaurin NK cell,T cell,T follicular helper cell,T helper 1 cell,Tissue resident macrophage
EOMES,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
SLAMF6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
GZMK,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
PTPRC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PDCD1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
CCR5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
HLA-A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRGC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
SH2D1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
LGR6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Score,0.09364390266791675,0.9194911441220547,4.736907164743717,0.6112940706752575,0.5710904230943754,0.6587028440598082,0.5904230401790505,1.1588582825518896,1.3660625114910898,0.7502374482581895,0.7502374482581895,0.44246870932904114,0.9531039648912913,1.75868015876235,0.8339452711441802,0.065602418171154,0.31749382573466256,0.7162257536023994,0.6339502550171747,5.870431506382952,0.5904230401790505,3.009412773498702,0.553097308009244,0.7889885201297638,1.038253671076803
