,Activated T cell,CD4+ cytotoxic T1 cell,CD4+ cytotoxic T2 cell,CD8+ intraepithelial cell,Central memory T cell,Cytotoxic T cell,Dasatinib NK cell,Dexamethasone NK cell,Effector CD4+ T cell,Effector CD8+ T cell,Effector memory CD4+ T cell,Exhausted T cell,Mucosa-associated invariant T cell,Myeloid-derived suppressor cell,Natural killer cell,Neutrophil progenitor cell,Sotrastaurin NK cell,T cell,Tissue resident memory T cell
SPON2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PRF1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
GZMA,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
PRSS23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CD160,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CD247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
CHST2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ZBTB16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
NCR3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CD244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
FASLG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LTF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Score,0.663907320098667,0.663907320098667,0.6976016183331611,0.9840165481663063,0.5396771023610325,2.0212872273416678,0.6070163155387862,0.5396771023610325,0.6976016183331611,0.7360343354112487,0.7806717764769044,2.0861470258339625,1.1708004770645384,0.3070696512452989,12.261268367617848,0.8337872056345712,0.5396771023610325,1.1679328972191936,0.7360343354112487
