,B cell,CD4+ T cell,CD8+ T cell,Circulating angiogenic cell,Circulating precursor cell,Circulating progenitor cell,Cycling cell,Dendritic cell,Dividing plasma B cell,Endothelial cell,Endothelial progenitor cell,Hematopoietic progenitor cell,Hematopoietic stem cell,Leukemic stem cell,Lymphoid stem cell,Macrophage,Megakaryocyte,Mesenchymal stem cell,NK cell,Naive T cell,Natural killer T cell,Plasma B cell,Precursor cell,Progenitor cell,Proliferative T cell,Proliferative lymphocyte,T helper 17 cell
TUBB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKI67,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0
HDAC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HPRT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD34,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0
GSDMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STMN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RAD21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYO1G,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Score,0.09364390266791675,0.9194911441220547,0.17273265555374087,1.038253671076803,1.038253671076803,0.8873809621644686,1.3660625114910898,0.27248141695569955,1.038253671076803,1.0047873815248358,1.6678905422883603,1.1588582825518896,1.6455931348928103,1.836746921494867,1.3660625114910898,0.2881650203933542,0.6339502550171747,1.038253671076803,0.7162257536023994,0.49165004313468713,0.6339502550171747,0.9531039648912913,1.038253671076803,1.6999705408781798,1.6455931348928103,1.1588582825518896,0.7162257536023994
