,B cell,CD14-positive monocyte,Cytotoxic CD8+ T cell,Dendritic cell,M2 macrophage,Macrophage,Mature dendritic cell,Monocyte,Monocyte derived dendritic cell,Monocytic myeloid-derived suppressor cell,Myeloid cell,Myeloid dendritic cell,Peripheral blood,T cell
CD1C,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0
FCER1A,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
CD1E,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLRP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
IL1R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
IL1B,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
MRC1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSIG4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AHNAK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD207,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Score,0.08028824084579782,0.8060595093768304,1.0098859578290844,7.068609951796858,0.722670760522421,1.1441430932675418,0.722670760522421,0.08671009156748996,1.3174056881196163,3.194952908245651,0.20414850934292586,3.6524834392014616,1.1303290342510235,0.11963183535503563
