,Birinapant NK cell,Granulocyte,Immature granulocyte,Macrophage,Monocyte,Myeloid progenitor cell,Neutrophil,Non-classical monocyte,Regulatory T cell,Responder T cell
CDKN1C,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
FCGR3B,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
MERTK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CEBPA,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
C5AR1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TNFSF10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIGLEC10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ADGRE1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C1QA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MSR1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IFIT1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CD101,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Score,0.7806717764769044,0.37414396684716267,0.7806717764769044,1.0712639167760944,2.9372272284471608,1.3111782540399552,2.3761289045389415,0.4710012057479334,0.28036752718305924,0.9840165481663063
