,Age-associated B cell,Atypical B cell,CD4+ T cell,Cancer cell,Dasatinib NK cell,Dexamethasone NK cell,Macrophage,Monocyte,Myeloid dendritic cell,Natural killer cell,Plasmacytoid dendritic cell,Regulatory T cell,Sotrastaurin NK cell,T cell,T helper 2 cell
NCAM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
KLRC1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
GATA3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
IL18RAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CDCP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAX,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CYTL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SALL4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOCS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NR1H3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Score,1.3660625114910898,0.9531039648912913,0.20291193576994715,0.41127455157813486,0.6587028440598082,0.5904230401790505,0.2881650203933542,0.065602418171154,0.6112940706752575,2.3419929954455907,0.5205067164717341,0.3239118621992096,0.5904230401790505,0.1401407708785339,0.6339502550171747
