,CD4+ T cell,CD8+ T cell,Conventional T cell,Dendritic cell,Exhausted CD4+ T cell,Exhausted CD8+ T cell,Exhausted T cell,Gamma delta T cell,Induced regulatory T cell,Memory CD4+ T cell,Mucosa-associated invariant T cell,Naive CD4+ T cell,Naive CD8+ T cell,Naive T cell,Ovalbumin-specific regulatory T cell,Polymorphonuclear myeloid-derived suppressor cell,Regulatory CD4 T cell,Regulatory CD4+ T cell,Regulatory CD8+ T cell,Regulatory T cell,T cell,T follicular helper cell,Treg cell,Tumor regulatory T cell
RTKN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
FOXP3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,21.0,0.0,0.0,1.0,1.0
CTLA4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0
IKZF2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
IL2RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0
ARG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEF1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TIGIT,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0
IL5RA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Score,2.383192688423631,1.303370579135371,3.204045388244009,0.2971650846010212,0.7808289487895719,0.7808289487895719,0.9827801642687254,0.47056063804176745,0.9843361204148746,0.47056063804176745,0.34333750166353494,0.600575795059836,0.5824262433447102,0.520357238831366,0.9843361204148746,0.663907320098667,1.39777918706272,0.9843361204148746,0.9843361204148746,23.955982690434737,2.2462244804821605,0.5824262433447102,5.5562305212183,3.964762591348522
