,CD16+ dendritic cell,CD8+ T cell,Classical monocyte,Conventional dendritic cell 2,Dendritic cell,Dendritic cell lineage,Eosinophil,Granulocyte,Immature myeloid cell,Intermediate monocyte,M2 macrophage,Macrophage,Mature dendritic cell,Monocyte,Monocyte derived dendritic cell,Monocytic myeloid-derived suppressor cell,Myeloblast,Myeloid cell,Myeloid dendritic cell,Myeloid derived suppressor cell,Myeloid-derived suppressor cell,Natural killer cell,Neutrophil,Non-classical monocyte,Plasmacytoid dendritic cell,Polymorphonuclear myeloid-derived suppressor cell,Suppressive monocyte
FCER1A,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD1C,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD1E,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEC10A,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSIG4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD33,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
OLR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
CLEC4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Score,0.6888179301804258,0.15462431762603662,0.25076376660997496,0.9248973454603898,10.885490323600372,0.8060595093768304,0.4286251514904822,0.39643903059954233,0.6888179301804258,0.6587028440598082,0.722670760522421,2.6469051496151397,0.722670760522421,0.08671009156748996,3.651762437321713,6.821976710806723,0.9248973454603898,1.3489332047436438,11.318051713224078,1.0098859578290844,0.328187132293958,0.09091117843819017,0.920790161505843,0.4945082207927007,0.4945082207927007,2.3161374177415706,0.6888179301804258
