label,P
ABC,1.0
ASC,1.0
CD14,1.0
CD16,1.0
CD4 CTL,1.0
CD4 Naive,1.0
CD4 Proliferating,1.0
CD4 TCM,1.0
CD4 Tcm,1.0
CD4 Tem,1.0
CD4 Tex,1.0
CD4 Treg,1.0
CD4+CD8+,1.0
CD4-CD8-,1.0
CD8 CTL,1.0
CD8 TCM,1.0
CD8 TEM,1.0
CD8 Tex,1.0
Memory,1.0
NK Proliferating,1.0
NK2,1.0
NK3,1.0
Naive,1.0
Plasmablast,1.0
Platelet,1.0
T-mito,1.0
gdT,1.0
pDC,1.0
NK1,0.9523809523809524
B naive,0.9090909090909092
NK,0.8571428571428571
Intermed,0.8500000000000001
cDC2,0.7954545454545454
B intermediate,0.7619047619047619
CD4 TEM,0.6666666666666666
Treg,0.6666666666666666
MAIT,0.6470588235294118
CD14 Mono,0.6428571428571429
ASDC,0.6363636363636364
CD8 Proliferating,0.625
B memory,0.6
cDC1,0.5714285714285714
CD16 Mono,0.5208333333333334
NK_CD56bright,0.5
CD8 Naive,0.0
CD8 Tem,0.0
